account_id,station,basetemp,nac_pre,nac_post,savings,site_number,base_post,nahc_post,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,lthdd_post,sebs_post,sehpdd_post,trefh_post,hpdd_post,senac_post,senahc_post,base_pre,nahc_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,lthdd_pre,sebs_pre,sehpdd_pre,trefh_pre,hpdd_pre,senac_pre,senahc_pre,iou_id,retrofit_start_date,retrofit_end_date,zipcode,ca_climate_zone,station_id,station_number,isvalid,station_name
"4GY9LD","SAN-JOSE-INTL",57,470,393,76.69632,"5",133,260,0.046,0.957,22,01jul2011,30mar2013,809,23,.0152242,57,.3209237,18,12,210,260,0.034,0.930,29,29jan2009,01jun2011,809,22,.0169037,57,.3212647,16,14,"4GY9LD","6/16/11","9/9/11",94087,4,"SAN-JOSE-INTL_724945",724945,1,"SAN-JOSE-INTL"
"FBDDJ3","NAPA-CO",57,538,480,58.17645,"6",109,371,0.055,0.956,15,30jan2012,31mar2013,1354,38,.016353,57,.2742143,27,22,103,436,0.041,0.937,36,29jan2009,29dec2011,1354,31,.0143327,57,.3217805,22,19,"FBDDJ3","1/17/12","2/15/12",94903,2,"NAPA-CO_724955",724955,1,"NAPA-CO"
"S812VL","SAN-JOSE-REID",57,1083,895,187.239,"8",303,593,0.059,0.900,14,12feb2012,13mar2013,960,58,.0593449,57,.617214,52,57,344,738,0.070,0.678,37,12jan2009,11jan2012,960,81,.0894923,57,.7690369,75,86,"S812VL","1/21/12","3/16/12",95120,4,"SAN-JOSE-REID_724946",724946,1,"SAN-JOSE-REID"
"8WZD1Z","CONCORD",57,704,448,256.3689,"9",195,253,0.052,0.939,21,02aug2011,01apr2013,999,30,.0147745,57,.2533367,23,15,278,426,0.046,0.909,30,01feb2009,04jul2011,999,43,.025466,57,.4266248,32,25,"8WZD1Z","8/2/11","10/14/11",94597,12,"CONCORD_724936",724936,1,"CONCORD"
"9IC5HT","MARYSVILLE-BEALE-AFB",58,862,794,67.66229,"1",430,364,0.049,0.909,21,17aug2011,17apr2013,1311,51,.0201043,58,.277658,39,26,394,468,0.021,0.975,30,17feb2009,19jul2011,1311,24,.0107761,58,.356764,18,14,"9IC5HT","8/2/11","10/25/11",95765,11,"MARYSVILLE-BEALE-AFB_724837",724837,1,"MARYSVILLE-BEALE-AFB"
"SEHDPS1526388264","SANDBERG",58,,,,"11b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEHDPS1526388264","8/24/11","7/27/12",91016,9,"SANDBERG_723830",723830,1,"SANDBERG"
"SEHDPS1526388359","LOS-ANGELES-DOWNTOWN",58,,,,"12b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEHDPS1526388359","10/10/11","2/28/12",91724,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
"SGHDPS1526331746","LOS-ANGELES-DOWNTOWN",58,453,442,11.23895,"13",132,310,0.036,0.993,5,27aug2012,27dec2012,290,16,.053506,58,1.068963,16,16,207,246,0.074,0.790,30,02mar2010,27jul2012,290,42,.0826366,58,.8484635,33,24,"SGHDPS1526331746","8/13/12","10/1/12",91107,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
"SGHDPS1526215611","VAN-NUYS",58,616,354,261.2947,"14",124,230,0.134,0.757,19,25jun2012,23dec2013,529,54,.0599014,58,.4353884,48,32,251,364,0.118,0.601,28,26feb2010,24may2012,529,97,.1100904,58,.6886918,72,58,"SGHDPS1526215611","6/11/12","9/20/12",91423,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
"SEHDPS1526388932","LOS-ANGELES-DOWNTOWN",58,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEHDPS1526388932","8/9/11","9/17/11",91790,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
"SEHDPS1526388512","VAN-NUYS",58,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEHDPS1526388512","12/1/11","2/15/12",91321,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
"9264652903","CAMP-PENDLETON",58,713,639,74.16827,"17",224,414,0.104,0.895,10,08jun2012,11mar2013,832,82,.060421,58,.4979165,66,50,270,443,0.038,0.904,40,09feb2009,09may2012,832,37,.0282208,58,.5324153,27,23,"1386","5/22/12","6/19/12",92128,10,"CAMP-PENDLETON_722926",722926,1,"CAMP-PENDLETON"
"5708455284","CAMP-PENDLETON",58,575,499,76.01932,"18b",237,261,0.031,0.980,11,08may2012,08mar2013,832,19,.0148424,58,.3139604,16,12,291,284,0.047,0.929,15,08feb2011,06apr2012,832,38,.0260907,58,.3410959,27,22,"5708455284","4/26/12","6/1/12",92040,10,"CAMP-PENDLETON_722926",722926,1,"CAMP-PENDLETON"
"9069281964","SAN-DIEGO-MONTGOMER",58,489,358,130.7923,"19b",194,164,0.046,0.969,11,07may2012,07mar2013,416,20,.0236098,58,.3933438,17,10,221,267,0.031,0.922,39,05feb2009,05apr2012,416,20,.0307362,58,.6429493,15,13,"9069281964","4/10/12","7/30/12",92115,7,"SAN-DIEGO-MONTGOMER_722903",722903,1,"SAN-DIEGO-MONTGOMER"
"E3RCZ8","LIVERMORE",58,701,344,356.6346,"2",95,249,0.033,0.967,22,15jul2011,11apr2013,1488,15,.0069185,58,.1674459,11,10,167,534,0.082,0.847,17,12feb2010,14jun2011,1488,86,.03938,58,.3585427,57,59,"E3RCZ8","6/15/11","9/10/11",94526,12,"LIVERMORE_724927",724927,1,"LIVERMORE"
"9608731398","SAN-DIEGO-MONTGOMER",58,460,393,66.258,"20",189,205,0.086,0.941,10,23may2012,22feb2013,416,39,.0437352,58,.4919968,34,18,217,243,0.036,0.895,39,24feb2009,24apr2012,416,22,.0329403,58,.5841998,17,14,"1351","5/2/12","5/23/12",92117,7,"SAN-DIEGO-MONTGOMER_722903",722903,1,"SAN-DIEGO-MONTGOMER"
"NKP4ZU","CONCORD",58,830,609,220.3286,"3",343,266,0.060,0.883,19,05oct2011,04apr2013,1162,48,.0202166,58,.2293105,36,23,449,381,0.039,0.861,32,04feb2009,06sep2011,1162,43,.0240225,58,.3276424,33,28,"NKP4ZU","10/1/11","11/21/11",94556,12,"CONCORD_724936",724936,1,"CONCORD"
"OVYM2X","OAKLAND",58,690,480,209.8873,"4",257,223,0.057,0.845,19,21sep2011,21mar2013,1126,38,.0205476,58,.198148,27,23,258,431,0.040,0.896,32,21jan2009,22aug2011,1126,40,.0238356,58,.3831723,28,27,"OVYM2X","8/23/11","10/27/11",94619,3,"OAKLAND_724930",724930,1,"OAKLAND"
"4GY9LD","SAN-JOSE-INTL",58,471,400,70.66498,"5",118,282,0.041,0.965,22,01jul2011,30mar2013,979,21,.0122936,58,.2882772,16,12,195,276,0.032,0.935,29,29jan2009,01jun2011,979,22,.014317,58,.2815729,15,14,"4GY9LD","6/16/11","9/9/11",94087,4,"SAN-JOSE-INTL_724945",724945,1,"SAN-JOSE-INTL"
"FBDDJ3","NAPA-CO",58,541,483,58.00281,"6",89,394,0.056,0.955,15,30jan2012,31mar2013,1555,39,.0152995,58,.2534257,27,24,81,460,0.041,0.937,36,29jan2009,29dec2011,1555,32,.0131747,58,.2958724,22,20,"FBDDJ3","1/17/12","2/15/12",94903,2,"NAPA-CO_724955",724955,1,"NAPA-CO"
"S812VL","SAN-JOSE-REID",58,1068,889,178.5298,"8",279,610,0.051,0.924,14,12feb2012,13mar2013,1129,52,.0446157,58,.5399939,45,50,316,752,0.067,0.702,37,12jan2009,11jan2012,1129,80,.0733212,58,.6659934,72,83,"S812VL","1/21/12","3/16/12",95120,4,"SAN-JOSE-REID_724946",724946,1,"SAN-JOSE-REID"
"8WZD1Z","CONCORD",58,704,451,253.0977,"9",180,272,0.047,0.950,21,02aug2011,01apr2013,1162,28,.0122417,58,.2336655,21,14,253,451,0.043,0.921,30,01feb2009,04jul2011,1162,41,.0214928,58,.3885465,30,25,"8WZD1Z","8/2/11","10/14/11",94597,12,"CONCORD_724936",724936,1,"CONCORD"
